public_petition_text,reason_category
"На территории валяется старая покрышка, опасные отходы, надо вывести.",Благоустройство
Просьба закрасить,Благоустройство
"Просьба заменить табличку, т.к порвал куртку.
Подъезд №2",Содержание МКД
Мусор - ЖБИ у дома 35 по ул.Караваевской.,Благоустройство
Бумажные объявления на сооружении,Состояние рекламных или информационных конструкций
Повреждение облицовочный плитки на спуске/подъёме к дому. Угроза падения с лестницы.,Благоустройство
незаконная решетка на фасаде,Нарушение правил пользования общим имуществом
Между 10 и 11 этажами на эвакуационной лестнице нет освещения. Требую восстановить,Содержание МКД
Постоянно собирается мусор,Содержание МКД
Объявление,Благоустройство
"У пятой парадной дома 23,корп. 2 по ул. Стойкости постоянно переполнена урна мусором, мусор высыпается и разбросан рядом. Прошу взять на контроль уборку урны!",Благоустройство
В подъезде №6 открыт вход в подвал. Выломано ушко замка.,Подвалы
"Разрушена песочница,повреждены илт отсутствуют кольца на сооружении.",Благоустройство
мусор на газоне - листья,Благоустройство
Переполненная урна. мусор не убирают. Домоуправу говорили -проигнорировал. Дворника на адресе НЕТ.,Благоустройство
"Прошу проверить правомерность размещения рекламной конструкции.
В случае выявления нарушения, прошу демонтировать и утилизировать.",Незаконная информационная и (или) рекламная конструкция
Рушится фасад,Фасад
"НЕ УБИРАЮТ ПАРАДНУЮ НОМЕР 2! КАЖДЫЙ РАЗ ПИШУ СООБЩЕНИЯ! ГРАФИК ВИСИТ, ОН НЕ СОБЛЮДАЕТСЯ! СЕГОДНЯ 31 МАРТА, ПАРАДНУЮ ДОЛЖНЫ БЫЛИ УБРАТЬ 28 ЧИСЛА (СУДЯ ПО ГРАФИКУ)!!!!! ЗА ЧТО МЫ ПЛАТИМ ДЕНЬГИ??!",Содержание МКД
Конструкции запрещающие парковку  так и стоят,Благоустройство
2 провала возле люка теплосети на пешеходной дорожке. у детской площадки.,Повреждения или неисправность элементов уличной инфраструктуры
"Прошу устранить множественные граффити на подстанции по адресу: Морская наб., д.41, к.4, лит.А",Благоустройство
Отсутствует уборка на лестнице,Содержание МКД
Прошу занизить бордюр для доступа маломобильных граждан на тротуар,Благоустройство
Надписи на двери,Благоустройство
Испорчен подоконник,Содержание МКД
"Прошу произвести гидромониторную или хотя бы механическую очистку асфальтированного проезда и тротуара от остатков  песко-соляной смеси и грязи , вдоль пр.Энгельса, 155",Благоустройство
"1 фото - Просьба закрасить надписи
2 фото - Просьба отмыть стикеры с водосточной трубы.",Благоустройство
Просьба убрать мусор с газона. Спасибо,Благоустройство
"Повреждена дверь, осыпание лакокрасочных покрытий, осыпание штукатурки под дверью. 3 этаж. В доме одна парадная",Содержание МКД
Реклама на заборе.,Благоустройство
Не убран снег на дорожке вдоль дома 30-1 по пр. Энергетиков,Благоустройство
"Неудовлетворительная уборка в первой парадной,1 этаж.",Содержание МКД
демонтировать рекламную конструкцию,Незаконная информационная и (или) рекламная конструкция
Отсутствует нижнее колено (слив) у водосточной трубы,Кровля
Самовольно размещены спутниковые антенны на фасаде здания. Прошу демонтировать.,Нарушение правил пользования общим имуществом
незаконный кондиционер на фасаде,Нарушение правил пользования общим имуществом
"гупрэп прогресс несвоевременно и некачественно выполняет уборку подъезда, вследствие чего территория вокруг мусоропремника (между 11 и 12 этажами) остаётся загрязнённой. необходимо отчистить грязь
стены и площадка не отчищены от грязи",Содержание МКД
Закрасить граффити в цвет стены дома,Благоустройство
Мусор не вывозится. Состояние неудовлетворительное.,Содержание МКД
Открыт газовый люк на проезжей части.,Повреждения или неисправность элементов уличной инфраструктуры
Отваливается  штукатурка,Фасад
Отсутствует холодное водоснабжение,Водоснабжение
В третьей парадной на первом этаже свет самопроизвольно выключается. Включается при хлопании дверью.,Содержание МКД
"Придорожная 21. Отвратительная работа дворника. Проехал трактор с щеткой - больше ничего не нужно что ли???? Берём лопату, и приводим в порядок придомовую территорию! Что за безобразие??! Живут инвалиды, старики, дети. Как так-то???",Благоустройство
"ИДН установлена не во всю ширину проезда, а также повреждена. 
Необходимо заменить ИДН на новую во всю ширину проезда.
Координаты 60.044172, 30.331913.",Благоустройство
Несанкционированные надписи,Благоустройство
"Убрать больную тую. Тую  даже зимой остаётся зелёной. Высылаю специально одну лишнюю фото, чтобы вы могли сравнить Здоровое растение и то на которое я написал.",Благоустройство
прошу во время вывозить мусор,Содержание МКД
несанкционированная торговля,"Незаконная реализация товаров с торгового оборудования (прилавок, ящик, с земли)"
"По адресу: пр Авиаконструктор, д6, первая парадная, на 11 этаже, ещё в прошлом году (2020) были начаты работы по замене труб пожарного гидранта. По состоянию работ, у нас как у жителей дома, нет никакой информации. Дверцы пожарного шкафа уже третий месяц стоят на полу, пожарный рукав вообще исчез!!!! Есть информация о том, что после индивидуально обращения жильцов 3 и 7 этажей- работы по ремонту пожарных гидрантов , на их этажах, были завершены ( вернули пожарный гидрант и дверцы на шкаф). У меня возникает вопрос: почему ремонт начинают централизованно на всех этажах, а заканчивают только на тех этажах, с которых начинают поступать жалобы.",Содержание МКД
"Не обустроена контейнерная площадка. Отсутствие контейнеров по сбору мусора. 
Наличие только одного ""ПУХТО"" не подходящего под описания контейнера. Согласно распоряжению N 410-р 30.11.18 для сбора твёрдых отходов должны быть установлены контейнеры с крышкой. Существующий на данный момент ""ПУХТО"" по своим габаритам, а именно высотой 2190 мм, не позволяет полноценное его использование людям низкого роста, пожилым людям и беременным женщинам, что в свою очередь влечет за собой ущемления их прав и риски для здоровья. 
.",Благоустройство
"В доме по адресу: Сиреневый бульвар 4к2, лит. Х, в парадной №4 на 9-м этаже на двери в машинное помещение написаны несанкционированные надписи. Пожалуйста, исправьте данную проблему!",Содержание МКД
яма в асфальте,Благоустройство
Просьба стереть надписи. Спасибо,Благоустройство
Много мусора.,Благоустройство
Прошу убрать надписи,Благоустройство
Повреждён асфальт вокруг люка,Повреждения или неисправность элементов уличной инфраструктуры
Дефект асфальтного покрытия на остановке. Стоит вода.,Благоустройство
"Неудовлетворительное состояние окрасочного слоя газовой трубы, проходящей по фасаду здания: частично окрасочный слой утрачен, на поверхностях грязь, грибок, ржавчина.
Требуется произвести работы по качественной окраске ВСЕЙ газовой трубы (на ВСЁМ протяжении), проходящей по фасаду, предварительно подготовив поверхности (удалить грязь, грибок, отслоения, ржавчину).

Фотофиксация от 11.04.прилагается.",Благоустройство
Яма в асфальте со стороны 1 парадной и садиком .,Благоустройство
Демонтировать рекламную вывеску,Незаконная информационная и (или) рекламная конструкция
Объявления таблички на фасаде здания,Благоустройство
"постоянно образовывается большая лужа,не обойти.",Благоустройство
"Реклама наркотиков на стене дома, ул. Ткачей, 42",Благоустройство
"Просьба известить владельца о необходимости вывоза транспорта в специально отведенное место. В случае  невыполнения данного требования вывезти по средствам уполномоченного должностного лица, ответственного за содержание объекта благоустройства.",Благоустройство
Просьба стереть надписи. Спасибо,Благоустройство
"В 4 парадной на первом этаже требуется замена светильников освещения с ламп накаливания на длинные люминесцентные или светодиодные. Существующие очень тусклые (что видно на фотографиях), и, даже при их наличии, их света не хватает, первый этаж парадной очень тусклый, поэтому заходить в парадную небезопасно. Обращаю внимание, что светильники установлены с нарушениями конструкции, от чего висят в воздухе на проводах.
На пролетах между этажами и на этажах со 2 по 7 предусмотрены светильники, однако в них отсутствуют лампы и плафоны, некоторые возможно не работаю.
Прошу привезти освещение в парадной в соответствии с санитарными нормами.",Содержание МКД
Надписи на знаке.,Благоустройство
Несанкционированные надписи,Благоустройство
Требуется уборка контейнерной площадки￼,Содержание МКД
Ямы около люка.,Повреждения или неисправность элементов уличной инфраструктуры
"Земля осела у колодца, необходима проверка и ремонт",Повреждения или неисправность элементов уличной инфраструктуры
"Самовольно размещенные кондиционеры уродуют фасад нашего дома. ТСЖ ""Суворовский-61"" обязано проверять согласование КГА на установку дополнительного оборудования, следить за недопущением незаконного размещения кондиционеров, антенн и прочего оборудования на стенах, на крыше, внутри дома.  

Несмотря на неоднократные обращения Администрации Центрального Района и Жилищной Инспекции к ТСЖ ""Суворовский-61"", самовольно размещенные кондиционеры так и не удалены с фасада за 6 месяцев.

Повторный осмотр дома с представителями Администрации центрального района был проведен совместно в октябре 2020 года. Необходимо принять меры в отношении должностных лиц ТСЖ ""Суворовский-61"" и удалить незаконно размещенное оборудование с фасада здания в судебном порядке.

Этот кондиционер находится на уровне 7-го этажа слева от пожарного выхода из подъезда №9 (со стороны детской площадки).",Нарушение правил пользования общим имуществом
"Температура воздуха в парадной 3 по результатам измерения от 12 марта 2021 года мастером участка составила 7 градусов тепла. Акт о замере воздуха находится у жкс номер 2 петроградского района. Мне его получить не удалось, так как на звонки не отвечают, дни приёма отсутствуют. Правила № 170 включают восстановление теплозащиты и теплоизоляции стен, перекрытий, санитарно-технических устройств, крыш и других элементов МКД в перечень работ по текущему ремонту. С учётом расхода на отопление 2,5 Гкал в месяц с каждой квартиры дома, очевидным являются теплопотери дома сверх норм. Прошу провести энергоаудит дома и принять меры по минимизации его теплопотерь.",Центральное отопление
самовольно установлена дополнительная вывеска. у компании уже есть вывеска. прошу демонтировать,Незаконная информационная и (или) рекламная конструкция
несанкционированные надписи на сооружении - туалет водоканала,Благоустройство
реклама на водосточной трубе,Благоустройство
"Каждый раз, после дождя, в теплый период года, или во время оттепели в холодный период года, образуется огромная лужа в нижней части естественного рельефа асфальтового покрытия. Это делает невозможным нормальное передвижение пешеходов и транспортных средств. Отсутствие патрубка дожеприёмника в нижней точке этого места, ведёт за собой образование лужи, даже после механической уборки. В сообщениях 3239568 от 28.02.21, 2277727 от 04.11.19, 2231452 от 14.10.19 портала "" Наш Санкт - Петербург"" уже указывалась проблема образования лужи по данному адресу. Примите меры по устранению факторов приводящих к образованию лужи. Прилагаю фотографии места и скриншоты сообщений.",Благоустройство
Несанкционированные надписи / объявления на стенах дома,Благоустройство
Воздуховод у подъезда 4,Нарушение правил пользования общим имуществом
очистите о о,Благоустройство
"Перегорела лампочка на лестничной площадке 2-го этажа по адресу ул. Жуковского, д. 15, квартиры 3, 9, 20, вход с ул. Жуковского... Просьба заменить перегоревшую лампочку на светодиодную лампу длительного срока службы.",Содержание МКД
Сколоты куски и разбиты траурные плитки,Благоустройство
Тротуар умеет просадки и частичные разрушения,Благоустройство
Повреждения дорожного покрытия проезжей части,Благоустройство
"Бетонная урна  сикось-накось брошена прямо на многострадальный куст.

Требуется 
1.Убрать урну с газона и освободить от неё несчастное зелёное насаждение.
2.Установить урну на бетонную дорожку или на асфальт проезда",Благоустройство
Прошу убрать.,Благоустройство
Разбита облицовочная  плитка у входа во вторую парадную дома 6 корпус 1 стр.1 по улице Академика Павлова. Прошу заменить.,Фасад
Сломаны перилла,Содержание МКД
"территория Шувалово, Софийская ул., д.26-28, 
повреждение дорожного покрытия",Благоустройство
Складирование снежно-грязевых масс на проезжей части.,Благоустройство
"Некачественная уборка газонов от мусора перед домом 22 по улице Синявинская.


XXX XXXXXXXXXX XX XXXXXXX XX XXXXXXXXXXXX XXXXXXXXXX XXXXXXXX XXXXX XXXXXXXXXXX XX XXXXXXX X XX XXXXXXXXXX XXXXXXX X XXXX XXXXXXXXX XXXXXX X XXXXXXX X XXXXXXXXX XXXXXXX XXXXXX X XXXXXXXXXXXXXXXXX XXXXXXX XXX XXXXXX XXXXXXXX XXXXXXXXX X XXXXXXXX XX XXXXXXXX XXXXXX XXXXXXX X XXXXXXX XXXXXXXXXXXXX",Благоустройство
"Прошу залатать выбоины не щебнем, а асфальтной смесью! Ездить невозможно, вся подвеска убивается при езде по этой «дороге»",Благоустройство
Мусор необходимо собрать,Благоустройство
"Самовольно размещенная решетка на окне 2-го этажа (квартира в подъезде №10) уродует лицевой фасад и нарушает архитектурный облик здания.  

В отношении размещения инженерного и технического оборудования на фасаде требуется разработка листа согласования, полученного на основании обращения в Комитет по градостроительству и архитектуре. Законом Санкт-Петербурга «Об административных правонарушениях в Санкт-Петербурге» № 273-70 от 12.05.2010 статьёй 18 предусмотрена административная ответственность за самовольное переоборудование фасада здания, частью 1 статьи 16 — за самовольное размещение элемента благоустройства. 

ТСЖ ""Суворовский-61"" обязано следить за содержанием фасада. Должностные лица ТСЖ не исполняют свои прямые обязанности по содержанию общего домового имущества, что многократно подтверждено актами осмотров Администрации Центрального р-на в 2020 году, но нарушения так и не устранены в 2021 году. 

Все решетки должны быть удалены с фасада добровольно или в судебном порядке.",Нарушение правил пользования общим имуществом
Просьба убрать граффити и незаконные объявления,Благоустройство
неудовлетворительное состояние покрытия               возле люка,Повреждения или неисправность элементов уличной инфраструктуры
объявления на рекламном щите,Состояние рекламных или информационных конструкций
Отсутствие уборки лестницы уже больше месяца,Содержание МКД
разбросанный мусор нв газоне,Благоустройство
"Почтовые ящики в парадной №4 грязные, старые, поломанные. Управляющая компания не следит за состоянием дома. Просим принять меры",Содержание МКД
"На Долгозерной улице, вдоль дома 31 (по направлению от Парашютной к Маршала Новикову) по краям дорожной части песок и прочий мусор",Благоустройство
граффити на рекламной конструкции,Состояние рекламных или информационных конструкций
Мусоросборники на этажах в парадной №5 пыльные и грязные.,Содержание МКД
"Перегоревшая лампа в фонаре на внешней стороне дома, со стороны детской площадки, рядом с аркой.",Содержание МКД
"В арке перегорела лампа. В темное время суток освещения недостаточно для аккуратного въезда, что может привести к повреждениям автотранспорта и фасада дома. Замена силами собственников затруднена из-за высоты на которой она расположена.",Содержание МКД
"В новогоднюю ночь кто то погнул доводчик двери, она не открывается и не закрывается полностью. Вход и выход затруднены, домофон не блокирует дверь
В новогоднюю ночь кто то погнул доводчик двери, она не открывается и не закрывается полностью. Вход и выход затруднены, домофон не блокирует дверь.

ответ не удовлетворяет, дверь не закрыта ( последннее фото с дверью) закрывается на магнит  только при значительном усилии",Содержание МКД
"Открыт канализационный люк у СТО по адресу Школьная 37. Стоит смешное ограждение, которое ни о чего не защищает. Крышка лежит вообще отдельно. Там проходит много людей, в том числе и дети. Очень опасно! Необходимо закрыть крышку люка.",Повреждения или неисправность элементов уличной инфраструктуры
Мусор не убирается. Фото от 01.04.2021 в 11.00. Ответственность несёт УК ПЕТАРА,Благоустройство
рисунки на рекламном щите,Состояние рекламных или информационных конструкций
уберите мусор,Благоустройство
снег не расчищен,Благоустройство
"Добрый день. 
Наклейка на дверце.",Благоустройство
На лестнице на 10 этаже в парадной № 2 испорчена стена,Содержание МКД
прошу очистить от надписей,Благоустройство
"Неубранный снег, нечищенные лестницы у входа в сбербанк (пандус). Не убрана придомовая территория (со стороны улицы) возле магазинов, сбербанка, дикси и т. п.",Благоустройство
Парадная №3. Отсутствие пружины на двери в тамбуре (на 2-ой двери)! Пружина была снята при ремонтных работах в подвале и не восстановлена после их окончания. Множественные ранние крепежи видны на двери.(фото прилагается).,Содержание МКД
"Не законное размещение решёток на окнах первого этажа , необходимо демонтировать!",Нарушение правил пользования общим имуществом
коробка с быт.мусором,Благоустройство
Идрицкая улица от автомобильной парковки у ЖК ЦДС Московский в наледи с водой.,Благоустройство
Убрать мусор  около дома,Благоустройство
Очистить,Благоустройство
Необходимо установить искусственную неровность в проезде между домами.,Благоустройство
дырка пробито не одно колесо,Благоустройство
очистите  о о,Благоустройство
Мусор на газоне,Благоустройство
"Так как отсутствуют вентиляционные оттдушины(отверстия, окна) в наших квартирах из вентиляционных отверстий, особенно 1-2 этаж, идёт затхлый воздух, стены 1 этажей уже пошёл грибок, люди проживающие в этом доме, имеют разные заболевания и инвалидности и дышать тяжело уже от такого воздуха в доме! Просим решить эту проблему, т.к наша ООО "" Жилкомсераис 4"" они уверяют нас, что они работу провели. Просим провести проверку! 
XXXX XXXXXXX XXXXXXXX XX XXXXXX XXX XXX XX XXXXXX XXXXXX XX XXXXXXX XXXXXXXXXXXX X XXX XXXX XX XXXXXXX",Подвалы
"Мусор в виде окурков, оставленные гражданами, которые не могут донести их 5 метров до урны вдоль ул. Ботаническая на участке между ул. Чичеринская и Старопетергофским шоссе.",Благоустройство
Очистить,Благоустройство
Лестница  номер 4.Требуется косметический ремонт,Содержание МКД
"Неисправна лампа на шестом этаже, в помещении с мусоропроводом",Содержание МКД
незаконная решетка на фасаде,Нарушение правил пользования общим имуществом
"Поваленные бордюрные камни слздают препятствие для парковки автомобилей, не выполняют своей функции по удержанию земли от попадания на внутридворовую территорию, а также создают благоприятные условия для выезда ТС на газон",Благоустройство
"разрушается штукатурка на стенах, стены раскрашены, состояние стен ужасное, требуется проведение ремонтных работ (покраска, выравнивание)
просьба сообщить на какое период запланированы работы, кто ответственный.
первая парадная с Большого проспекта, на углу",Содержание МКД
Просьба закрасить,Благоустройство
мусор,Благоустройство
объявления на опоре освещения,Благоустройство
Неисправно освещение в лифте. Парадная 11.,Содержание МКД
"Из земли торчит арматура , надо убрать .",Благоустройство
Не работает лифт в парадной №1,Содержание МКД
"добрый день.
на лестнице #2 (вход со двора) дома #5 по улице Жуковского, появились тараканы. прошу провести дезинфекцию всей лестницы с 1 по 6 этажи, а также чердачного помещения. 
спасибо",Санитарное состояние
мусор на дороге,Благоустройство
снег на дороге,Благоустройство
Незаконная реклама,Благоустройство
прошу вас установить полусферы для ограждения газона,Благоустройство
"Необоснованно огромное количество реагента на улицах.
Улицы буквально покрыты реагентом, при чем вне зависимости от осадков.
Прикрепляю фотографии, которые сделаны на ул. Правды,  По фото можно понять, что снега нет, и дорожное покрытие не требует такого (!) количества реагентов. От реагентов страдают домашние животные, с которыми просто невозможно пройти по улице, чтобы не наступить в эти химикаты. Пожалуйста, урегулируйте, этот вопрос. 
Зачем посыпать сухие улицы без снега реагентом, разъедающим лапы собак и обувь жителей города??",Благоустройство
Мешки с мусором на бесхозяйной территории. Конец Орловской улицы.,Благоустройство
Незаконное использование общедомовой собственности. Без согласия 2/3 собственников общедомовая собственность сдаётся в аренду.,Нарушение порядка пользования общим имуществом
"Ветки кустарников свисают на дорогу, мешают проходу, особенно в темное время суток
Кустарники вдоль дома ул. Церковная 46, ул. Школьная 23,б",Благоустройство
Мусор на газонах,Благоустройство
"Незаконное хранение коляски на вторм этаже, а если пожар или скорая?! Любителям ставить коляски где попало не мешало бы ставить их у себя на квартире, а не загромождать проезд. Коляска также мешает сообщению между двумя квартирами. Собственники должны хранить коляски у себя в помещениях, а не захламлять и устраивать непонятно что на этажах",Содержание МКД
надписи на стенах,Благоустройство
Решетка в помещении 1 этажа,Нарушение правил пользования общим имуществом
"У бывшей школы 659 (фрунзенский район,  Софийская улица, д. 26, к.2) находится разукомплектованное транспортное средство без номеров, с выбитым боковым стеклом, отломанным зеркалом, проржавевшими дисками и спущенным колесом. Стоит там какое-то время.",Благоустройство
объявление,Благоустройство
Отсутствует влажное подметание подъезда.,Содержание МКД
"щель между косяком лифта и стеной, 1 этаж",Содержание МКД
Надписи на распределительном щитке,Благоустройство
"В нашем подъезде уже около года постоянно открыт электрощит. Периодически его посещает, подъезд, якобы электрик УК Собрание, а вместе с ним техник. Видят этот самый щит, но никаких действий не предпринимают. Хотя я обращался с заявлениями в 004 м в само УК Собрание. В подъезде проживают несовершеннолетние дети, которые не всегда находятся под присмотром взрослых. Как видно на фото - на щите висят якобы пломбы и замки :-)",Содержание МКД
"Парадная 4.
Требуется окрасить в общий тон отремонтированную часть ствола мусоропровода.",Содержание МКД
открыт люк,Повреждения или неисправность элементов уличной инфраструктуры
"ул Сердобольская,от Лисичанской до Белоостровской не  убирается снег,нет трактора",Благоустройство
"Лермонтовский 20, парадная 3.  Протекает в парадной угол и стена.",Кровля
"в 1 подъезде на 19 этаже в холле напротив лифта неудовлетворительное состояние стены - дыра и куча клякс не в цвет основного фона, необходима штукатурка и окраска всей стены без помарок, однотонно",Содержание МКД
Мешки с мусором в кустарнике.,Благоустройство
Сильно накренилась дорожная ограда после зимы.,Благоустройство
"Отсутствует лампочка и  плафон, лестница , 9 этаж.",Содержание МКД
маркиза,Нарушение правил пользования общим имуществом
"Ива с несколькими стволами опасна, стволы могут упасть на граждан. Срочно примите меры угол наклона низкий, срубите и посадите новое хорошее дерево . Березку например.",Благоустройство
"У светильника, установленного над входом в подвал (водомерный узел, электрощитовая), отсутствует защитное стекло.",Содержание МКД
Нет ограничителей и защитной сетки на перилах. В парадной проживают маленькие дети. Прошу установить защиту или заменить перила.,Содержание МКД
Неисправны два фонаря на лестничной площадке первого этажа 3 подъезда. Прошу устранить.,Содержание МКД
"прошу проверить законность размещения рекламы ""ювелир""",Незаконная информационная и (или) рекламная конструкция
Незаконная реклама на дорожных ограждениях,Благоустройство
незаконная решетка на фасаде,Нарушение правил пользования общим имуществом
На твердом покрытии тротуара скапливается вода из-за отсутствия ливнестоков. Прошу организовать работы по обустройству системы водоотведения,Благоустройство
Реклама на будке.,Благоустройство
снег на дороге,Благоустройство
"Прошу объяснить, как возможно такое: подпись в графике уборки стоит, а подъезд в состоянии полной антисанитарии? Почему подъезд убирают только после жалобы? График Уборки подъезда не соблюдается перманентно! Весь подъезд грязный донельзя, а уборщица приходит, смотрит на это, подписывается в графике и уходит! Ковёр на входе лежит второй год, он уже сгнил и воняет!",Содержание МКД
Просьба произвести уборку лестницы,Содержание МКД
Прошу установить столбики или придумать иной способ ограничивающий парковку перед пешеходной дорожкой.,Благоустройство
"У 1 парадной вместо нормального ограждения газона какая-то старая труба времен первых переселенцев. Почему-то во всем районе у домов установлены аккуратные ограждения, и только у нас ничего не сделано.",Благоустройство
В течение 3-х недель не вывозится мусор с контейнерной площадки.,Содержание МКД
"Дверь на этаже не закрывается, пружина на двери растянута.
Адрес: Искровский проспект, дом 3, корп. 2, лит. Д (парадная 6, этаж 3)",Содержание МКД
"Скопление мусора. 
Прошу провести тщательную уборку территории, в соответствии с распоряжением Правительства Санкт-Петербурга от 18 июля 2016 года N 897-р",Благоустройство
Реклама на стенде.,Состояние рекламных или информационных конструкций
Необходимо произвести очистку тротуара от помёта птиц,Благоустройство
Требую убрать надписи с фасада дома.,Благоустройство
Сломано игровое оборудование. Винт отвалился,Благоустройство
Треснутые окна на 3-4 этажах в парадной 3 требуется замена,Содержание МКД
